 2023-07-03 23:01:33,689 - Key.ctrl_l
 2023-07-03 23:01:33,781 - '\x13'
 2023-07-03 23:01:35,371 - Key.ctrl_l
 2023-07-03 23:01:35,762 - '\x13'
 2023-07-03 23:01:36,264 - Key.alt_l
 2023-07-03 23:01:36,341 - Key.tab
 2023-07-03 23:01:37,585 - Key.tab
 2023-07-03 23:01:37,968 - Key.tab
 2023-07-03 23:01:49,066 - Key.ctrl_l
 2023-07-03 23:01:49,175 - Key.shift
 2023-07-03 23:01:49,463 - Key.esc
 2023-07-03 23:02:21,084 - 'd'
 2023-07-03 23:02:22,337 - Key.backspace
 2023-07-03 23:02:33,158 - 'p'
 2023-07-03 23:02:33,316 - 'y'
 2023-07-03 23:02:33,517 - 't'
 2023-07-03 23:02:33,596 - 'h'
 2023-07-03 23:02:33,774 - 'o'
 2023-07-03 23:02:33,898 - 'n'
 2023-07-03 23:02:34,062 - Key.space
 2023-07-03 23:02:34,229 - 'k'
 2023-07-03 23:02:34,409 - 'e'
 2023-07-03 23:02:34,567 - 'y'
 2023-07-03 23:02:34,680 - Key.tab
 2023-07-03 23:02:36,796 - Key.backspace
 2023-07-03 23:02:37,285 - Key.backspace
 2023-07-03 23:02:37,314 - Key.backspace
 2023-07-03 23:02:37,347 - Key.backspace
 2023-07-03 23:02:37,376 - Key.backspace
 2023-07-03 23:02:37,407 - Key.backspace
 2023-07-03 23:02:37,684 - Key.backspace
 2023-07-03 23:02:38,293 - 'l'
 2023-07-03 23:02:38,443 - 'o'
 2023-07-03 23:02:38,552 - 'g'
 2023-07-03 23:02:38,768 - 'g'
 2023-07-03 23:02:39,059 - 'e'
 2023-07-03 23:02:39,132 - 'r'
 2023-07-03 23:02:39,266 - '.'
 2023-07-03 23:02:39,543 - 'p'
 2023-07-03 23:02:39,674 - 'y'
 2023-07-03 23:02:40,282 - Key.enter
 2023-07-03 23:02:47,721 - 'd'
 2023-07-03 23:02:47,721 - 'd'
 2023-07-03 23:02:48,916 - 's'
